id,package_name,version,depends,predepends,description
88,samba,2:4.1.6+dfsg-1ubuntu2.14.04.3," adduser, heimdal-hdb-api-8, libpam-modules, libpam-runtime (>= 1.0.1-11), lsb-base (>= 4.1+Debian), procps, python (>= 2.7), python-dnspython, python-ntdb, python-samba, samba-common (= 2:4.1.6+dfsg-1ubuntu2.14.04.3), samba-common-bin (= 2:4.1.6+dfsg-1ubuntu2.14.04.3), samba-dsdb-modules, tdb-tools, update-inetd, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), python (<< 2.8), python2.7:any, libasn1-8-heimdal (>= 1.4.0+git20110226), libbsd0 (>= 0.5.0), libc6 (>= 2.14), libcomerr2 (>= 1.01), libhdb9-heimdal (>= 1.4.0+git20110226), libkdc2-heimdal (>= 1.4.0+git20110226), libkrb5-26-heimdal (>= 1.4.0+git20110226), libldb1 (>= 0.9.21), libpopt0 (>= 1.14), libpython2.7 (>= 2.7), libroken18-heimdal (>= 1.4.0+git20110226), libtalloc2 (>= 2.0.4~git20101213), libtdb1 (>= 1.2.7+git20101214), libtevent0 (>= 0.9.14), samba-libs (= 2:4.1.6+dfsg-1ubuntu2.14.04.3)","dpkg (>= 1.15.6~), multiarch-support","SMB/CIFS file, print, and login server for Unix"
89,libwxgtk2.8-0,2.8.12.1+dfsg-2ubuntu3," libc6 (>= 2.15), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libgl1-mesa-glx | libgl1, libglib2.0-0 (>= 2.16.0), libgtk2.0-0 (>= 2.24.0), libjpeg8 (>= 8c), libpango-1.0-0 (>= 1.14.0), libpng12-0 (>= 1.2.13-4), libsm6, libstdc++6 (>= 4.1.1), libtiff5 (>= 4.0.3), libwxbase2.8-0 (>= 2.8.12.1+dfsg), libxinerama1, libxxf86vm1",multiarch-support,wxWidgets Cross-platform C++ GUI toolkit (GTK+ runtime)
90,libxcb-shm0,1.10-2ubuntu2," libc6 (>= 2.2.5), libxcb1 (>= 1.9.2)",multiarch-support,"X C Binding, shm extension"
91,libclass-accessor-perl,0.34-2," perl, libsub-name-perl",,Perl module that automatically generates accessors
92,libxmuu1,2:1.1.1-2," libc6 (>= 2.4), libx11-6",multiarch-support,X11 miscellaneous micro-utility library
93,libva-drm1,1.3.0-3," libc6 (>= 2.4), libdrm2 (>= 2.3.1)",multiarch-support,Video Acceleration (VA) API for Linux -- DRM runtime
94,gir1.2-gconf-2.0,3.2.6-0ubuntu3," gconf-service, gir1.2-glib-2.0, libgconf-2-4 (>= 2.31.1)",,GNOME configuration database system (GObject-Introspection)
95,mint-artwork-common,1.8.1+1cdos1.7+1.10.0, mintsystem,,Common artwork for system editions
96,gnome-terminal,3.6.2+qiana+4cdos6," gconf-service, libatk1.0-0 (>= 1.12.4), libc6 (>= 2.4), libgconf-2-4 (>= 2.31.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.16), libice6 (>= 1:1.0.0), libpango-1.0-0 (>= 1.14.0), libsm6, libvte-2.90-9 (>= 1:0.34.9), libx11-6, gsettings-desktop-schemas (>= 0.1.0), gnome-terminal-data (>= 3.6), gnome-terminal-data (<< 3.7)",,GNOME terminal emulator application
97,duplicity,0.6.23-1ubuntu4.2," libc6 (>= 2.4), librsync1 (>= 0.9.6), python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-lockfile",,encrypted bandwidth-efficient backup
98,icedtea-7-jre-jamvm,7u55-2.4.7-1ubuntu2+1cdos2," openjdk-7-jre-headless (= 7u55-2.4.7-1ubuntu2+1cdos2), libc6 (>= 2.14), zlib1g (>= 1:1.1.4)",,"Alternative JVM for OpenJDK, using JamVM"
99,gdb,7.7-0ubuntu3.2," libc6 (>= 2.15), libexpat1 (>= 2.0.1), liblzma5 (>= 5.1.1alpha+20110809), libncurses5 (>= 5.5-5~), libpython3.4 (>= 3.4~b1), libreadline6 (>= 6.0), libtinfo5, zlib1g (>= 1:1.2.0), libpython3-stdlib",,GNU Debugger
100,language-pack-zh-hans,1:14.04+20140410+3cdos2, language-pack-zh-hans-base (>= 1:14.04+20140410),dpkg (>= 1.10.27ubuntu1),translation updates for language Simplified Chinese
101,openjdk-7-jre-headless,7u55-2.4.7-1ubuntu2+1cdos2," ca-certificates-java, tzdata-java, java-common (>= 0.28), libcups2 (>= 1.4.0), liblcms2-2 (>= 2.2+git20110628), libjpeg8 (>= 8c), libnss3-1d (>= 3.12.9+ckbi-1.82-0ubuntu4), libpcsclite1, libc6 (>= 2.14), libfontconfig1 (>= 2.9.0), libfreetype6 (>= 2.2.1), libgcc1 (>= 1:4.1.1), libglib2.0-0 (>= 2.26.0), libkrb5-3 (>= 1.6.dfsg.2), libstdc++6 (>= 4.1.1), zlib1g (>= 1:1.1.4)",multiarch-support,"OpenJDK Java runtime, using Hotspot JIT (headless)"
102,libprotobuf8,2.5.0-9ubuntu2," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.3), zlib1g (>= 1:1.1.4)",,protocol buffers C++ library
103,x11proto-input-dev,2.3-2, x11proto-core-dev,,X11 Input extension wire protocol
104,initramfs-tools,0.103ubuntu4.3," initramfs-tools-bin (>= 0.103ubuntu4.3), initramfs-tools-bin (<< 0.103ubuntu4.3.1~), klibc-utils (>= 2.0-1~), busybox-initramfs (>= 1:1.13.3-1ubuntu5), cpio, module-init-tools, udev (>= 147~-5), findutils (>= 4.2.24), util-linux (>> 2.15~rc1)",,tools for generating an initramfs
105,makedev,2.3.1-93ubuntu2, base-passwd (>= 3.0.4),,creates device files in /dev
106,p11-kit,0.20.2-2ubuntu3," libc6 (>= 2.16), libp11-kit0 (>= 0.20.0), libtasn1-6 (>= 3.4-0), p11-kit-modules (>= 0.20.2-2ubuntu3)",,p11-glue utilities
107,laptop-detect,0.13.7ubuntu3, dmidecode (>> 2.8-2),,attempt to detect a laptop
108,libxml2,2.9.1+dfsg1-3ubuntu4.4," libc6 (>= 2.15), liblzma5 (>= 5.1.1alpha+20120614), zlib1g (>= 1:1.2.3.3)",multiarch-support,GNOME XML library
109,gstreamer0.10-plugins-base-apps,0.10.36-1.1ubuntu3," libc6 (>= 2.2.5), libglib2.0-0 (>= 2.24), libgstreamer0.10-0 (>= 0.10.36), perl, gstreamer0.10-tools",,GStreamer helper programs from the  base  set
110,x11-xkb-utils,7.7+2," libc6 (>= 2.14), libx11-6, libxaw7, libxkbfile1, libxt6",,X11 XKB utilities
111,telnet,0.17-36build3," netbase, libc6 (>= 2.15), libstdc++6 (>= 4.1.1)",,The telnet client
112,login,1:4.1.5.1-1ubuntu9.2,,"libc6 (>= 2.14), libpam0g (>= 0.99.7.1), libpam-runtime, libpam-modules",system login tools
113,gpgv,1.4.16-1ubuntu2.1-1cdos1.6," libbz2-1.0, libc6 (>= 2.14), zlib1g (>= 1:1.1.4)",,GNU privacy guard - signature verification tool
114,python3-dbus,1.2.0-2build3," python3 (>= 3.4~), python3 (<< 3.5), libc6 (>= 2.4), libdbus-1-3 (>= 1.5.12), libdbus-glib-1-2 (>= 0.78), libglib2.0-0 (>= 2.12.0)",,simple interprocess messaging system (Python 3 interface)
115,desktop-file-utils,0.22-1ubuntu1+1cdos3+1.10.0," libc6 (>= 2.7), libglib2.0-0 (>= 2.28.0)",,Utilities for .desktop files
